"","Beer","Beer_ID","ABV","IBU","Brewery_id","Style","Ounces","Brewery","City","state"
"478","Descender IPA",1109,0.07,70,465,"American IPA",12,"Good Life Brewing Company","Bend","OR"
"479","Sweet As Pacific Ale",1108,0.06,18,465,"American Pale Wheat Ale",12,"Good Life Brewing Company","Bend","OR"
"480","Good People Pale Ale",1000,0.056,36,479,"American Pale Ale (APA)",12,"Good People Brewing Company","Birmingham","AL"
"481","Snake Handler Double IPA",312,0.093,103,479,"American Double / Imperial IPA",12,"Good People Brewing Company","Birmingham","AL"
"482","Coffee Oatmeal Stout",311,0.06,54,479,"Oatmeal Stout",12,"Good People Brewing Company","Birmingham","AL"
"483","Good People IPA",309,0.06,64,479,"American IPA",12,"Good People Brewing Company","Birmingham","AL"
"484","Good People American Brown Ale",308,0.058,36,479,"American Brown Ale",12,"Good People Brewing Company","Birmingham","AL"
"485","Mountain Rescue Pale Ale",2205,0.055,40,195,"American Pale Ale (APA)",12,"Goodlife Brewing Co.","Bend","OR"
"486","Goose Island India Pale Ale",2198,0.059,55,197,"American IPA",12,"Goose Island Brewery Company","Chicago","IL"
"487","312 Urban Pale Ale",2457,0.054,30,89,"American Pale Ale (APA)",16,"Goose Island Brewing Company","Chicago","IL"
"488","312 Urban Pale Ale",2202,0.054,30,89,"American Pale Ale (APA)",12,"Goose Island Brewing Company","Chicago","IL"
"489","312 Urban Wheat Ale",2201,0.042,18,89,"American Pale Wheat Ale",16,"Goose Island Brewing Company","Chicago","IL"
"490","312 Urban Wheat Ale",1829,0.042,18,89,"American Pale Wheat Ale",12,"Goose Island Brewing Company","Chicago","IL"
"491","312 Urban Wheat Ale (2012)",581,0.042,20,89,"American Pale Wheat Ale",12,"Goose Island Brewing Company","Chicago","IL"
"492","Beaver Logger",1383,0.052,19,421,"American Pale Lager",12,"Gore Range Brewery","Edwards","CO"
"493","Monarch Classic American Wheat",2129,0.043,21,214,"American Pale Wheat Ale",12,"Grapevine Craft Brewery","Farmers Branch","TX"
"494","Sir William's English Brown Ale",2127,0.049,21,214,"English Brown Ale",12,"Grapevine Craft Brewery","Farmers Branch","TX"
"495","Lakefire Rye Pale Ale",2126,0.055,35,214,"American Pale Ale (APA)",12,"Grapevine Craft Brewery","Farmers Branch","TX"
"496","Beer Agent Re-Ignition",2303,0.053,22,166,"American Blonde Ale",16,"Great Crescent Brewery","Aurora","IN"
"497","Cherry Ale",1990,0.057,18,166,"Fruit / Vegetable Beer",16,"Great Crescent Brewery","Aurora","IN"
"498","Bourbon Barrel Aged Coconut Porter",1702,0.056,33,166,"American Porter",16,"Great Crescent Brewery","Aurora","IN"
"499","Great Crescent IPA",1701,0.062,60,166,"American IPA",16,"Great Crescent Brewery","Aurora","IN"
"500","Aurora Lager",1700,0.057,27,166,"Dortmunder / Export Lager",16,"Great Crescent Brewery","Aurora","IN"
"501","Great Crescent Blonde Ale",1699,0.053,22,166,"American Blonde Ale",16,"Great Crescent Brewery","Aurora","IN"
"502","Great Crescent Coconut Porter",1269,0.056,33,166,"American Porter",16,"Great Crescent Brewery","Aurora","IN"
"503","Great Crescent Oktoberfest Lager",930,0.057,25,166,"Märzen / Oktoberfest",16,"Great Crescent Brewery","Aurora","IN"
"504","Great Crescent Brown Ale",649,0.045,36,166,"American Brown Ale",16,"Great Crescent Brewery","Aurora","IN"
"505","Cherry Ale (1)",639,0.057,18,166,"Fruit / Vegetable Beer",16,"Great Crescent Brewery","Aurora","IN"
"506","Aurora Lager (2011)",626,0.057,27,166,"Dortmunder / Export Lager",16,"Great Crescent Brewery","Aurora","IN"
"507","Frosted Fields Winter Wheat",615,0.06,25,166,"American Dark Wheat Ale",16,"Great Crescent Brewery","Aurora","IN"
"508","Great Crescent Belgian Style Wit",478,0.051,13,166,"Witbier",16,"Great Crescent Brewery","Aurora","IN"
"509","Bourbon's Barrel Stout",455,0.075,65,166,"American Stout",16,"Great Crescent Brewery","Aurora","IN"
"510","Great Crescent Stout",442,0.08,66,166,"English Stout",16,"Great Crescent Brewery","Aurora","IN"
"511","Great Crescent Coconut Porter (2012)",441,0.056,33,166,"American Porter",16,"Great Crescent Brewery","Aurora","IN"
"512","Great Crescent Dark Lager",440,0.057,23,166,"Euro Dark Lager",16,"Great Crescent Brewery","Aurora","IN"
"513","Great Crescent Mild Ale",439,0.042,26,166,"English Dark Mild Ale",16,"Great Crescent Brewery","Aurora","IN"
"514","Great Crescent IPA (2011)",436,0.062,60,166,"American IPA",16,"Great Crescent Brewery","Aurora","IN"
"515","Great Crescent Blonde Ale (2011)",389,0.053,22,166,"American Blonde Ale",16,"Great Crescent Brewery","Aurora","IN"
"516","Yeti  Imperial Stout",2644,0.095,75,7,"Russian Imperial Stout",12,"Great Divide Brewing Company","Denver","CO"
"517","Black Star Double Hopped Golden Lager (24 oz.)",404,0.045,15,544,"American Pale Lager",24,"Great Northern Brewing Company","Whitefish","MT"
"518","Black Star Double Hopped Golden Lager (12 oz.)",164,0.045,15,544,"American Pale Lager",12,"Great Northern Brewing Company","Whitefish","MT"
"519","Commotion APA",1923,0.052,49,270,"American Pale Ale (APA)",12,"Great Raft Brewing Company","Shreveport","LA"
"520","Chickawawa Lemonale",1604,0.05,5,366,"Fruit / Vegetable Beer",12,"Great River Brewery","Davenport","IA"
"521","Barrel Aged Farmer",1574,0.07,22,366,"American Brown Ale",16,"Great River Brewery","Davenport","IA"
"522","Dos Pistolas",1244,0.048,20,366,"Vienna Lager",12,"Great River Brewery","Davenport","IA"
"523","Owney Irish Style Red Ale",1064,0.05,30,366,"Irish Red Ale",16,"Great River Brewery","Davenport","IA"
"524","Widespread Wit",865,0.055,10,366,"Witbier",16,"Great River Brewery","Davenport","IA"
"525","Roller Dam Red Ale",864,0.054,30,366,"Irish Red Ale",16,"Great River Brewery","Davenport","IA"
"526","483 Pale Ale",863,0.053,48,366,"American Pale Ale (APA)",16,"Great River Brewery","Davenport","IA"
"527","Hop A Potamus Double Dark Rye Pale Ale",672,0.09,99,366,"Rye Beer",16,"Great River Brewery","Davenport","IA"
"528","Farmer Brown Ale",655,0.07,22,366,"American Brown Ale",16,"Great River Brewery","Davenport","IA"
"529","Big Cock IPA",540,0.07,70,366,"American IPA",16,"Great River Brewery","Davenport","IA"
"530","Oktoberfest",539,0.059,25,366,"Märzen / Oktoberfest",16,"Great River Brewery","Davenport","IA"
"531","40th Annual Bix Street Fest Copper Ale (Current)",517,0.048,25,366,"American Amber / Red Ale",16,"Great River Brewery","Davenport","IA"
"532","Redband Stout",371,0.06,36,366,"American Stout",16,"Great River Brewery","Davenport","IA"
"533","483 Pale Ale (2010)",190,0.053,48,366,"American Pale Ale (APA)",16,"Great River Brewery","Davenport","IA"
"534","Roller Dam Red Ale (2010)",189,0.054,30,366,"Irish Red Ale",16,"Great River Brewery","Davenport","IA"
"535","Pablo Beach Pale Ale",1106,0.05,30,467,"American Pale Ale (APA)",12,"Green Room Brewing","Jacksonville","FL"
"536","Wild Trail Pale Ale",2314,0.057,44,157,"American Pale Ale (APA)",12,"Greenbrier Valley Brewing Company","Lewisburg","WV"
"537","Mothman Black IPA",2313,0.067,71,157,"American Black Ale",12,"Greenbrier Valley Brewing Company","Lewisburg","WV"
"538","Captain's Daughter",2044,0.085,69,87,"American Double / Imperial IPA",12,"Grey Sail Brewing Company","Westerly","RI"
"539","Flying Jenny Extra Pale Ale",1505,0.06,54,380,"American Pale Ale (APA)",12,"Grey Sail Brewing of Rhode Island","Westerly","RI"
"540","Hazy Day Belgian-Style Wit",1186,0.04,20,380,"Witbier",16,"Grey Sail Brewing of Rhode Island","Westerly","RI"
"541","Leaning Chimney Smoked Porter",984,0.06,34,380,"American Porter",16,"Grey Sail Brewing of Rhode Island","Westerly","RI"
"542","Flying Jenny Extra Pale Ale (2012)",693,0.06,54,380,"American Pale Ale (APA)",12,"Grey Sail Brewing of Rhode Island","Westerly","RI"
"543","Flagship Ale",631,0.049,22,380,"Cream Ale",12,"Grey Sail Brewing of Rhode Island","Westerly","RI"
"544","Mr. Blue Sky",2375,0.045,6,125,"American Pale Wheat Ale",16,"Griffin Claw Brewing Company","Birmingham","MI"
"545","Screamin’ Pumpkin",2142,0.05,25,125,"Pumpkin Ale",16,"Griffin Claw Brewing Company","Birmingham","MI"
"546","Grand Trunk Bohemian Pils",2141,0.05,35,125,"Czech Pilsener",16,"Griffin Claw Brewing Company","Birmingham","MI"
"547","El Rojo",2140,0.065,25,125,"American Amber / Red Ale",16,"Griffin Claw Brewing Company","Birmingham","MI"
"548","Grind Line",2138,0.05,35,125,"American Pale Ale (APA)",16,"Griffin Claw Brewing Company","Birmingham","MI"
"549","Norm's Gateway IPA",2007,0.04,55,125,"American IPA",12,"Griffin Claw Brewing Company","Birmingham","MI"
"550","Little Red Cap",2339,0.063,43,145,"Altbier",12,"Grimm Brothers Brewhouse","Loveland","CO"
"551","Supergoose IPA",1857,0.069,67,291,"American IPA",12,"Hale's Ales","Seattle","WA"
"552","Pursuit",2026,0.07,40,249,"American IPA",12,"Half Full Brewery","Stamford","CT"
"553","Half Full Bright Ale",1361,0.052,18,249,"American Blonde Ale",12,"Half Full Brewery","Stamford","CT"
"554","Orange Wheat",1016,0.046,17,477,"Fruit / Vegetable Beer",12,"Hangar 24 Craft Brewery","Redlands","CA"
"555","Hangar 24 Helles Lager",1015,0.043,14,477,"Munich Helles Lager",12,"Hangar 24 Craft Brewery","Redlands","CA"
"556","The Great Return",1677,0.075,70,344,"American IPA",16,"Hardywood Park Craft Brewery","Richmond","VA"
"557","Hardywood Cream Ale",1331,0.044,18,344,"Cream Ale",12,"Hardywood Park Craft Brewery","Richmond","VA"
"558","Capital Trail Pale Ale",1270,0.056,55,344,"American Pale Ale (APA)",12,"Hardywood Park Craft Brewery","Richmond","VA"
"559","UFO Gingerland",2059,0.052,15,235,"Herbed / Spiced Beer",12,"Harpoon Brewery","Boston","MA"
"560","The Long Thaw White IPA",1653,0.062,45,235,"American White IPA",12,"Harpoon Brewery","Boston","MA"
"561","Harpoon Summer Beer",1380,0.05,28,235,"Kölsch",12,"Harpoon Brewery","Boston","MA"
"562","Harpoon IPA",1379,0.059,42,235,"American IPA",12,"Harpoon Brewery","Boston","MA"
"563","UFO Pumpkin",1340,0.059,20,235,"Pumpkin Ale",12,"Harpoon Brewery","Boston","MA"
"564","Harpoon Octoberfest",1313,0.055,30,235,"Märzen / Oktoberfest",12,"Harpoon Brewery","Boston","MA"
"565","Harpoon IPA (2012)",770,0.059,42,235,"American IPA",12,"Harpoon Brewery","Boston","MA"
"566","Harpoon Summer Beer (2012)",769,0.05,28,235,"Kölsch",12,"Harpoon Brewery","Boston","MA"
"567","UFO White",610,0.048,10,235,"American Pale Wheat Ale",12,"Harpoon Brewery","Boston","MA"
"568","Harpoon Summer Beer (2010)",192,0.05,28,235,"Kölsch",12,"Harpoon Brewery","Boston","MA"
"569","Harpoon IPA (2010)",126,0.059,42,235,"American IPA",12,"Harpoon Brewery","Boston","MA"
"570","Groupe G",1895,0.076,65,281,"Belgian IPA",16,"Headlands Brewing Company","Mill Valley","CA"
"571","Pt. Bonita Rustic Lager",1894,0.062,40,281,"American Pale Lager",16,"Headlands Brewing Company","Mill Valley","CA"
"572","Hill 88 Double IPA",1893,0.088,77,281,"American Double / Imperial IPA",16,"Headlands Brewing Company","Mill Valley","CA"
"573","Loose Cannon",990,0.072,45,480,"American IPA",12,"Heavy Seas Beer","Halethorpe","MD"
"574","AARGHtoberfest!",989,0.06,30,480,"Märzen / Oktoberfest",12,"Heavy Seas Beer","Halethorpe","MD"
"575","Grazias",1351,0.063,30,424,"Cream Ale",16,"Hess Brewing Company","San Diego","CA"
"576","Habitus IPA",1346,0.08,86,424,"American IPA",16,"Hess Brewing Company","San Diego","CA"
"577","Ex Umbris Rye Imperial Stout",904,0.099,85,424,"American Double / Imperial Stout",16,"Hess Brewing Company","San Diego","CA"
"578","The Golden One",2295,0.063,21,169,"American Pilsner",12,"High Hops Brewery","Windsor","CO"
"579","The Power of Zeus",2294,0.07,68,169,"American Pale Ale (APA)",12,"High Hops Brewery","Windsor","CO"
"580","Tonganoxie Honey Wheat",824,0.044,22,501,"American Pale Wheat Ale",12,"High Noon Saloon And Brewery","Leavenworth","KS"
"581","The 12th Can™",1615,0.045,32,363,"American Pale Ale (APA)",16,"Hilliard's Beer","Seattle","WA"
"582","Hilliard's Pils",889,0.055,34,363,"Czech Pilsener",16,"Hilliard's Beer","Seattle","WA"
"583","Hilliard's Blonde",724,0.049,20,363,"American Blonde Ale",16,"Hilliard's Beer","Seattle","WA"
"584","Hilliard's Amber Ale",497,0.055,60,363,"American Amber / Red Ale",16,"Hilliard's Beer","Seattle","WA"
"585","Hilliard's Saison",496,0.066,30,363,"Saison / Farmhouse Ale",16,"Hilliard's Beer","Seattle","WA"
"586","Provision",1835,0.042,25,298,"Saison / Farmhouse Ale",12,"Hop Farm Brewing Company","Pittsburgh","PA"
"587","One Nut Brown",1834,0.047,28,298,"American Brown Ale",12,"Hop Farm Brewing Company","Pittsburgh","PA"
"588","Hop Farm IPA",1833,0.058,45,298,"American IPA",12,"Hop Farm Brewing Company","Pittsburgh","PA"
"589","Double D Blonde",2195,0.049,20,199,"American Blonde Ale",12,"Hop Valley Brewing Company","Springfield","OR"
"590","Festeroo Winter Ale",1605,0.078,60,199,"American Strong Ale",12,"Hop Valley Brewing Company","Springfield","OR"
"591","Proxima IPA",1543,0.063,70,199,"American IPA",12,"Hop Valley Brewing Company","Springfield","OR"
"592","Double D Blonde (2013)",1390,0.049,20,199,"American Blonde Ale",12,"Hop Valley Brewing Company","Springfield","OR"
"593","541 American Lager",1354,0.048,13,199,"American Pale Lager",12,"Hop Valley Brewing Company","Springfield","OR"
"594","Alphadelic IPA",1353,0.065,90,199,"American IPA",12,"Hop Valley Brewing Company","Springfield","OR"
"595","Alphadelic IPA (2011)",499,0.065,90,199,"American IPA",12,"Hop Valley Brewing Company","Springfield","OR"
"596","Double D Blonde (2011)",498,0.049,20,199,"American Blonde Ale",12,"Hop Valley Brewing Company","Springfield","OR"
"597","Alteration",502,0.051,40,396,"Altbier",12,"Hops & Grain Brewery","Austin","TX"
"598","Pale Dog",501,0.06,50,396,"American Pale Ale (APA)",12,"Hops & Grain Brewery","Austin","TX"
"599","Totally Radler",2482,0.027,21,81,"Radler",16,"Hopworks Urban Brewery","Portland","OR"
"600","Nonstop Hef Hop",2400,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"601","Nonstop Hef Hop",2399,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"602","Nonstop Hef Hop",2398,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"603","Nonstop Hef Hop",2397,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"604","Nonstop Hef Hop",2396,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"605","Nonstop Hef Hop",2395,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"606","Nonstop Hef Hop",2394,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"607","Nonstop Hef Hop",2393,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"608","Nonstop Hef Hop",2392,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"609","Nonstop Hef Hop",2391,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"610","Nonstop Hef Hop",2390,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"611","Nonstop Hef Hop",2389,0.039,20,81,"American Pale Wheat Ale",16,"Hopworks Urban Brewery","Portland","OR"
"612","Rise Up Red",2388,0.058,60,81,"American Amber / Red Ale",16,"Hopworks Urban Brewery","Portland","OR"
"613","Survival Stout",2200,0.058,35,81,"American Stout",16,"Hopworks Urban Brewery","Portland","OR"
"614","Hopworks IPA",2199,0.066,75,81,"American IPA",16,"Hopworks Urban Brewery","Portland","OR"
"615","Abominable Winter Ale",2193,0.073,70,81,"American Strong Ale",16,"Hopworks Urban Brewery","Portland","OR"
"616","Pigwar White India Pale Ale",1398,0.06,60,81,"American White IPA",16,"Hopworks Urban Brewery","Portland","OR"
"617","Rise-Up Red (2014)",1085,0.058,60,81,"American Amber / Red Ale",16,"Hopworks Urban Brewery","Portland","OR"
"618","Abominable Winter Ale (2012)",916,0.073,70,81,"American Strong Ale",16,"Hopworks Urban Brewery","Portland","OR"
"619","HUB Lager",658,0.051,32,81,"Czech Pilsener",16,"Hopworks Urban Brewery","Portland","OR"
"620","Hopworks IPA (2012)",653,0.066,75,81,"American IPA",16,"Hopworks Urban Brewery","Portland","OR"
"621","Laka Laka Pineapple",2384,0.051,17,121,"Hefeweizen",12,"Horny Goat Brew Pub","Milwaukee","WI"
"622","Let It Ride IPA",1903,0.068,90,278,"American IPA",12,"Indeed Brewing Company","Minneapolis","MN"
"623","Stir Crazy Winter Ale",1691,0.065,22,278,"Winter Warmer",12,"Indeed Brewing Company","Minneapolis","MN"
"624","Sweet Yamma Jamma Ale",1555,0.05,10,278,"Fruit / Vegetable Beer",12,"Indeed Brewing Company","Minneapolis","MN"
"625","Shenanigans Summer Ale",1115,0.046,27,278,"American Pale Wheat Ale",12,"Indeed Brewing Company","Minneapolis","MN"
"626","Midnight Ryder",729,0.065,80,278,"American Black Ale",12,"Indeed Brewing Company","Minneapolis","MN"
"627","Day Tripper Pale Ale",728,0.054,45,278,"American Pale Ale (APA)",12,"Indeed Brewing Company","Minneapolis","MN"
"628","Oklahoma Suks",2350,0.048,32,141,"American Amber / Red Ale",12,"Independence Brewing Company","Austin","TX"
"629","Power & Light",2301,0.055,42,141,"American Pale Ale (APA)",12,"Independence Brewing Company","Austin","TX"
"630","White Rabbit ",1904,0.059,27,141,"Witbier",12,"Independence Brewing Company","Austin","TX"
"631","Tribute",2609,0.058,58,24,"American Pale Ale (APA)",12,"Indiana City Brewing","Indianapolis","IN"
"632","Infamous IPA",2038,0.07,75,243,"American IPA",12,"Infamous Brewing Company","Austin","TX"
"633","Hijack",1774,0.055,20,243,"Cream Ale",12,"Infamous Brewing Company","Austin","TX"
"634","Jon Boat Coastal Ale",559,0.045,20,528,"American Blonde Ale",12,"Intuition Ale Works","Jacksonville","FL"
"635","I-10 IPA",558,0.068,55,528,"American IPA",12,"Intuition Ale Works","Jacksonville","FL"
"636","People's Pale Ale",553,0.053,28,528,"American Pale Ale (APA)",12,"Intuition Ale Works","Jacksonville","FL"
"637","House Lager",2673,0.052,18,3,"Keller Bier / Zwickel Bier",16,"Jack's Abby Craft Lagers","Framingham","MA"
"638","Leisure Time",2672,0.048,15,3,"American Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA"
"639","Excess IPL",2671,0.072,80,3,"American India Pale Lager",16,"Jack's Abby Craft Lagers","Framingham","MA"
"640","Hoponius Union",2670,0.067,65,3,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA"
"641","Calyptra",2669,0.049,45,3,"American India Pale Lager",12,"Jack's Abby Craft Lagers","Framingham","MA"
"642","Thunder Ann",1793,0.055,37,313,"American Pale Ale (APA)",12,"Jackalope Brewing Company","Nashville","TN"
"643","Weize Guy",2060,0.05,15,234,"Hefeweizen",12,"Joseph James Brewing Company","Henderson","NV"
"644","Fox Tail Gluten Free Ale",469,0.05,50,234,"American Pale Ale (APA)",12,"Joseph James Brewing Company","Henderson","NV"
"645","Hop Box Imperial IPA",468,0.093,90,234,"American Double / Imperial IPA",12,"Joseph James Brewing Company","Henderson","NV"
"646","Joseph James American Lager",467,0.052,15,234,"American Adjunct Lager",12,"Joseph James Brewing Company","Henderson","NV"
"647","Lewbricator Wheat Dopplebock ",2162,0.075,24,209,"Doppelbock",12,"Kalona Brewing Company","Kalona","IA"
"648","Weisse Versa (2012)",2374,0.052,16,126,"Hefeweizen",12,"Karbach Brewing Company","Houston","TX"
"649","Mother in Lager",1560,0.058,25,126,"Munich Dunkel Lager",12,"Karbach Brewing Company","Houston","TX"
"650","Weekend Warrior Pale Ale",1557,0.055,40,126,"American Pale Ale (APA)",12,"Karbach Brewing Company","Houston","TX"
"651","Karbachtoberfest",1458,0.055,25,126,"Märzen / Oktoberfest",12,"Karbach Brewing Company","Houston","TX"
"652","Love Street Summer Seasonal (2014)",1235,0.047,20,126,"Kölsch",12,"Karbach Brewing Company","Houston","TX"
"653","Barn Burner Saison",1068,0.066,20,126,"Saison / Farmhouse Ale",12,"Karbach Brewing Company","Houston","TX"
"654","Rodeo Clown Double IPA",666,0.095,85,126,"American Double / Imperial IPA",12,"Karbach Brewing Company","Houston","TX"
"655","Sympathy for the Lager",465,0.049,45,126,"American Amber / Red Lager",12,"Karbach Brewing Company","Houston","TX"
"656","Weisse Versa",464,0.052,15,126,"Hefeweizen",12,"Karbach Brewing Company","Houston","TX"
"657","Hopadillo India Pale Ale",463,0.066,70,126,"American IPA",12,"Karbach Brewing Company","Houston","TX"
"658","KelSo Nut Brown Lager",1678,0.057,19,343,"Euro Dark Lager",12,"KelSo Beer Company","Brooklyn","NY"
"659","KelSo India Pale Ale",1572,0.06,64,343,"American IPA",12,"KelSo Beer Company","Brooklyn","NY"
"660","KelSo Pilsner",1348,0.055,23,343,"Czech Pilsener",12,"KelSo Beer Company","Brooklyn","NY"
"661","Peninsula Brewers Reserve (PBR)",1187,0.05,15,459,"American Blonde Ale",12,"Kenai River Brewing Company","Soldotna","AK"
"662","Cold Smoke Scotch Ale (2007)",760,0.065,11,511,"Scotch Ale / Wee Heavy",16,"Kettle House Brewing Company","Missoula","MT"
"663","Double Haul IPA (2009)",759,0.065,65,511,"American IPA",16,"Kettle House Brewing Company","Missoula","MT"
"664","Double Haul IPA (2006)",758,0.065,65,511,"American IPA",16,"Kettle House Brewing Company","Missoula","MT"
"665","Eddy Out Pale Ale",87,0.055,50,511,"American Pale Ale (APA)",16,"Kettle House Brewing Company","Missoula","MT"
"666","Double Haul IPA",86,0.065,65,511,"American IPA",16,"Kettle House Brewing Company","Missoula","MT"
"667","Cold Smoke Scotch Ale",85,0.065,11,511,"Scotch Ale / Wee Heavy",16,"Kettle House Brewing Company","Missoula","MT"
"668","King Street IPA",1667,0.06,70,103,"American IPA",12,"King Street Brewing Company","Anchorage","AK"
"669","King Street Hefeweizen",1666,0.057,10,103,"Hefeweizen",12,"King Street Brewing Company","Anchorage","AK"
"670","India Pale Ale",2460,0.063,65,88,"American IPA",16,"Kirkwood Station Brewing Company","Kirkwood","MO"
"671","Blackberry Wheat",2459,0.048,11,88,"American Pale Wheat Ale",16,"Kirkwood Station Brewing Company","Kirkwood","MO"
"672","Longboard Island Lager",1274,0.046,18,440,"American Amber / Red Lager",24,"Kona Brewing Company","Kona","HI"
"673","Longboard Island Lager",1220,0.046,18,440,"American Amber / Red Lager",16,"Kona Brewing Company","Kona","HI"
"674","Longboard Island Lager",1070,0.046,18,440,"American Amber / Red Lager",12,"Kona Brewing Company","Kona","HI"
"675","Longboard Island Lager",590,0.046,18,440,"American Amber / Red Lager",12,"Kona Brewing Company","Kona","HI"
"676","Choc Beer (2003)",781,0.04,9,506,"American Dark Wheat Ale",12,"Krebs Brewing Company (Pete's Pl...","Krebs","OK"
"677","A Slice of Hefen",1741,0.054,15,333,"Hefeweizen",16,"La Cumbre Brewing Company","Albuquerque","NM"
"678","Elevated IPA",664,0.072,100,333,"American IPA",16,"La Cumbre Brewing Company","Albuquerque","NM"
"679","Rumspringa Golden Bock",392,0.066,30,546,"Maibock / Helles Bock",12,"Lancaster Brewing Company","Lancaster","PA"
"680","Lancaster German Style Kölsch",195,0.048,28,546,"Kölsch",12,"Lancaster Brewing Company","Lancaster","PA"
"681","Laughing Dog Cream Ale",2108,0.05,12,219,"Cream Ale",12,"Laughing Dog Brewing Company","Ponderay","ID"
"682","Two-One Niner",1397,0.048,9,219,"American Pilsner",12,"Laughing Dog Brewing Company","Ponderay","ID"
"683","Laughing Dog IPA",1396,0.064,66,219,"American IPA",12,"Laughing Dog Brewing Company","Ponderay","ID"
"684","Madra Allta",1675,0.064,95,346,"American IPA",12,"Lavery Brewing Company","Erie","PA"
"685","Duluchan India Pale Ale",1249,0.056,70,346,"American IPA",12,"Lavery Brewing Company","Erie","PA"
"686","Getaway",2036,0.052,30,245,"German Pilsener",16,"Lift Bridge Brewing Company","Stillwater","MN"
"687","Farm Girl Saison",1168,0.06,30,245,"Saison / Farmhouse Ale",16,"Lift Bridge Brewing Company","Stillwater","MN"
"688","Adam's Stout",1832,0.058,40,299,"American Stout",12,"Liquid Hero Brewery","York","PA"
"689","American Hero",1688,0.057,42,299,"American Amber / Red Ale",12,"Liquid Hero Brewery","York","PA"
"690","Schweet Ale",1687,0.052,20,299,"Fruit / Vegetable Beer",12,"Liquid Hero Brewery","York","PA"
"691","Irregardless IPA",1686,0.065,75,299,"American IPA",12,"Liquid Hero Brewery","York","PA"
"692","Peach Pale Ale",2434,0.057,40,105,"American Pale Ale (APA)",12,"Lone Tree Brewing Company","Lone Tree","CO"
"693","Peacemaker Pale Ale",2329,0.057,47,150,"American Pale Ale (APA)",12,"Lonerider Brewing Company","Raleigh","NC"
"694","Shotgun Betty",2327,0.058,11,150,"Hefeweizen",12,"Lonerider Brewing Company","Raleigh","NC"
"695","Sweet Josie",2326,0.061,30,150,"American Brown Ale",12,"Lonerider Brewing Company","Raleigh","NC"
"696","Long Trail IPA",1926,0.059,42,269,"English India Pale Ale (IPA)",12,"Long Trail Brewing Company","Bridgewater Corners","VT"
"697","Long Trail Ale",1924,0.046,30,269,"American Amber / Red Ale",12,"Long Trail Brewing Company","Bridgewater Corners","VT"
"698","Double Bag",1090,0.072,33,269,"Altbier",16,"Long Trail Brewing Company","Bridgewater Corners","VT"
"699","Blackbeary Wheat",574,0.04,8,269,"Fruit / Vegetable Beer",12,"Long Trail Brewing Company","Bridgewater Corners","VT"
"700","Long Trail Ale (1)",573,0.046,30,269,"Altbier",12,"Long Trail Brewing Company","Bridgewater Corners","VT"
"701","Gose",2584,0.046,8,42,"Gose",16,"Lost Nation Brewing","East Fairfield","VT"
"702","Vermont Pilsner",2583,0.048,20,42,"German Pilsener",16,"Lost Nation Brewing","East Fairfield","VT"
"703","Face Plant IPA",1309,0.062,65,431,"American IPA",12,"Lost Rhino Brewing Company","Ashburn","VA"
"704","Rhino Chasers Pilsner",1308,0.056,55,431,"Czech Pilsener",12,"Lost Rhino Brewing Company","Ashburn","VA"
"705","Slow Hand Stout",1571,0.052,29,378,"American Stout",16,"Lucette Brewing Company","Menominee","WI"
"706","Pub Ale",2033,0.038,18,246,"English Dark Mild Ale",12,"Lucky Town Brewing Company","Jackson","MS"
"707","Ballistic Blonde",2032,0.051,31,246,"Belgian Pale Ale",12,"Lucky Town Brewing Company","Jackson","MS"
"708","Lumberyard Pilsner",1153,0.053,20,159,"American Pilsner",12,"Lumberyard Brewing Company","Flagstaff","AZ"
"709","Mac's Scottish Style Amber Ale (2000)",961,0.051,32,486,"American Amber / Red Ale",12,"MacTarnahans Brewing Company","Portland","OR"
"710","Sol Drifter",2209,0.043,18,92,"American Blonde Ale",12,"Madtree Brewing Company","Cincinnati","OH"
"711","The Great Pumpcan",1994,0.079,18,92,"Fruit / Vegetable Beer",16,"Madtree Brewing Company","Cincinnati","OH"
"712","LIFT",1816,0.047,11,92,"Kölsch",12,"Madtree Brewing Company","Cincinnati","OH"
"713","SPRYE",1815,0.05,40,92,"American Pale Ale (APA)",12,"Madtree Brewing Company","Cincinnati","OH"
